"hgnc_symbol"	"entrezgene_id"	"ensembl_gene_id"	"id"	"allias"	"mirna"	"chromosome_name"
"MIR124-2"	406908	"ENSG00000207816"	"MI0000444"	"MI0000444"	"hsa-mir-124-2"	"8"
"ANK2"	287	"ENSG00000145362"	"MI0006373"	"MI0006373"	"hsa-mir-1243"	"4"
"MIR1243"	100302188	"ENSG00000283193"	"MI0006373"	"MI0006373"	"hsa-mir-1243"	"4"
""	NA	"ENSG00000231977"	"MI0000445"	"MI0000445"	"hsa-mir-124-3"	"20"
"MIR124-3"	406909	"ENSG00000207598"	"MI0000445"	"MI0000445"	"hsa-mir-124-3"	"20"
"PTMA"	5757	"ENSG00000187514"	"MI0006379"	"MI0006379"	"hsa-mir-1244-1"	"2"
"MIR1244-1"	100302285	"ENSG00000284378"	"MI0006379"	"MI0006379"	"hsa-mir-1244-1"	"2"
"DTWD2"	285605	"ENSG00000169570"	"MI0015974"	"MI0015974"	"hsa-mir-1244-2"	"5"
"MIR1244-2"	100422885	"ENSG00000283498"	"MI0015974"	"MI0015974"	"hsa-mir-1244-2"	"5"
"A2MP1"	3	"ENSG00000256069"	"MI0015975"	"MI0015975"	"hsa-mir-1244-3"	"12"
"MIR1244-3"	100422872	"ENSG00000283429"	"MI0015975"	"MI0015975"	"hsa-mir-1244-3"	"12"
"BCL2L14"	79370	"ENSG00000121380"	"MI0031511"	"MI0031511"	"hsa-mir-1244-4"	"12"
"MIR1244-4"	103504734	"ENSG00000283475"	"MI0031511"	"MI0031511"	"hsa-mir-1244-4"	"12"
"COL3A1"	1281	"ENSG00000168542"	"MI0006380"	"MI0006380"	"hsa-mir-1245a"	"2"
"MIR1245A"	100302219	"ENSG00000221502"	"MI0006380"	"MI0006380"	"hsa-mir-1245a"	"2"
"COL3A1"	1281	"ENSG00000168542"	"MI0017431"	"MI0017431"	"hsa-mir-1245b"	"2"
"MIR1245A"	100302219	"ENSG00000221502"	"MI0017431"	"MI0017431"	"hsa-mir-1245b"	"2"
"MIR1245B"	100616324	"ENSG00000283238"	"MI0017431"	"MI0017431"	"hsa-mir-1245b"	"2"
"LINC01117"	102724224	"ENSG00000224577"	"MI0006381"	"MI0006381"	"hsa-mir-1246"	"2"
"MIR1246"	100302142	"ENSG00000283203"	"MI0006381"	"MI0006381"	"hsa-mir-1246"	"2"
"DIO3OS"	64150	"ENSG00000258498"	"MI0006382"	"MI0006382"	"hsa-mir-1247"	"14"
"MIR1247"	100302145	"ENSG00000283857"	"MI0006382"	"MI0006382"	"hsa-mir-1247"	"14"
"EIF4A2"	1974	"ENSG00000156976"	"MI0006383"	"MI0006383"	"hsa-mir-1248"	"3"
"MIR1248"	100302143	"ENSG00000283958"	"MI0006383"	"MI0006383"	"hsa-mir-1248"	"3"
"KIAA0930"	23313	"ENSG00000100364"	"MI0006384"	"MI0006384"	"hsa-mir-1249"	"22"
"MIR1249"	100302149	"ENSG00000221598"	"MI0006384"	"MI0006384"	"hsa-mir-1249"	"22"
"AATK"	9625	"ENSG00000181409"	"MI0006385"	"MI0006385"	"hsa-mir-1250"	"17"
"MIR1250"	100302229	"ENSG00000221025"	"MI0006385"	"MI0006385"	"hsa-mir-1250"	"17"
"RMST"	196475	"ENSG00000255794"	"MI0006386"	"MI0006386"	"hsa-mir-1251"	"12"
"MIR1251"	100302289	"ENSG00000221479"	"MI0006386"	"MI0006386"	"hsa-mir-1251"	"12"
"SYT1"	6857	"ENSG00000067715"	"MI0006434"	"MI0006434"	"hsa-mir-1252"	"12"
""	NA	"ENSG00000257894"	"MI0006434"	"MI0006434"	"hsa-mir-1252"	"12"
"MIR1252"	100302136	"ENSG00000221788"	"MI0006434"	"MI0006434"	"hsa-mir-1252"	"12"
"CCDC92B"	NA	"ENSG00000261963"	"MI0006387"	"MI0006387"	"hsa-mir-1253"	"17"
"MIR1253"	100302208	"ENSG00000221200"	"MI0006387"	"MI0006387"	"hsa-mir-1253"	"17"
""	NA	"ENSG00000272920"	"MI0006387"	"MI0006387"	"hsa-mir-1253"	"17"
"PPP3CA"	5530	"ENSG00000138814"	"MI0006389"	"MI0006389"	"hsa-mir-1255a"	"4"
"MIR1255A"	100302193	"ENSG00000221265"	"MI0006389"	"MI0006389"	"hsa-mir-1255a"	"4"
"MIR1255B1"	100313806	"ENSG00000283207"	"MI0006435"	"MI0006435"	"hsa-mir-1255b-1"	"4"
"DCAF6"	55827	"ENSG00000143164"	"MI0006436"	"MI0006436"	"hsa-mir-1255b-2"	"1"
"MIR1255B2"	100313835	"ENSG00000221545"	"MI0006436"	"MI0006436"	"hsa-mir-1255b-2"	"1"
"EIF4G3"	8672	"ENSG00000075151"	"MI0006390"	"MI0006390"	"hsa-mir-1256"	"1"
"MIR1256"	100302155	"ENSG00000221808"	"MI0006390"	"MI0006390"	"hsa-mir-1256"	"1"
"TAF4"	6874	"ENSG00000130699"	"MI0006391"	"MI0006391"	"hsa-mir-1257"	"20"
"MIR1257"	100302168	"ENSG00000284193"	"MI0006391"	"MI0006391"	"hsa-mir-1257"	"20"
"ZNF385B"	151126	"ENSG00000144331"	"MI0006392"	"MI0006392"	"hsa-mir-1258"	"2"
"MIR1258"	100302172	"ENSG00000221240"	"MI0006392"	"MI0006392"	"hsa-mir-1258"	"2"
"SPACA6P-AS"	102238594	"ENSG00000269959"	"MI0000469"	"MI0000469"	"hsa-mir-125a"	"19"
"SPACA6"	147650	"ENSG00000182310"	"MI0000469"	"MI0000469"	"hsa-mir-125a"	"19"
"MIR125A"	406910	"ENSG00000208008"	"MI0000469"	"MI0000469"	"hsa-mir-125a"	"19"
"MIR100HG"	399959	"ENSG00000255248"	"MI0000446"	"MI0000446"	"hsa-mir-125b-1"	"11"
"MIR125B1"	406911	"ENSG00000207971"	"MI0000446"	"MI0000446"	"hsa-mir-125b-1"	"11"
"MIR99AHG"	NA	"ENSG00000215386"	"MI0000470"	"MI0000470"	"hsa-mir-125b-2"	"21"
"MIR125B2"	406912	"ENSG00000207863"	"MI0000470"	"MI0000470"	"hsa-mir-125b-2"	"21"
"EGFL7"	51162	"ENSG00000172889"	"MI0000471"	"MI0000471"	"hsa-mir-126"	"9"
"MIR126"	406913	"ENSG00000199161"	"MI0000471"	"MI0000471"	"hsa-mir-126"	"9"
"NGB"	58157	"ENSG00000165553"	"MI0006394"	"MI0006394"	"hsa-mir-1260a"	"14"
"MIR1260A"	100302236	"ENSG00000221754"	"MI0006394"	"MI0006394"	"hsa-mir-1260a"	"14"
"MAML2"	84441	"ENSG00000184384"	"MI0014197"	"MI0014197"	"hsa-mir-1260b"	"11"
"MIR1260B"	100422991	"ENSG00000266192"	"MI0014197"	"MI0014197"	"hsa-mir-1260b"	"11"
"DISC1FP1"	101929222	"ENSG00000261645"	"MI0006396"	"MI0006396"	"hsa-mir-1261"	"11"
"MIR1261"	100302228	"ENSG00000221586"	"MI0006396"	"MI0006396"	"hsa-mir-1261"	"11"
"GNG12-AS1"	100289178	"ENSG00000232284"	"MI0006397"	"MI0006397"	"hsa-mir-1262"	"1"
"WLS"	79971	"ENSG00000116729"	"MI0006397"	"MI0006397"	"hsa-mir-1262"	"1"
"MIR1262"	100302279	"ENSG00000221203"	"MI0006397"	"MI0006397"	"hsa-mir-1262"	"1"
"MIR1263"	100302148	"ENSG00000221251"	"MI0006398"	"MI0006398"	"hsa-mir-1263"	"3"
"HTR2C"	3358	"ENSG00000147246"	"MI0003758"	"MI0003758"	"hsa-mir-1264"	"X"
"MIR1264"	100302251	"ENSG00000276158"	"MI0003758"	"MI0003758"	"hsa-mir-1264"	"X"
"FRMD4A"	55691	"ENSG00000151474"	"MI0006401"	"MI0006401"	"hsa-mir-1265"	"10"
"MIR1265"	100302116	"ENSG00000221371"	"MI0006401"	"MI0006401"	"hsa-mir-1265"	"10"
"MYO5C"	55930	"ENSG00000128833"	"MI0006403"	"MI0006403"	"hsa-mir-1266"	"15"
"MIR1266"	100302202	"ENSG00000221052"	"MI0006403"	"MI0006403"	"hsa-mir-1266"	"15"
"FAM155A"	728215	"ENSG00000204442"	"MI0006404"	"MI0006404"	"hsa-mir-1267"	"13"
"MIR1267"	100302286	"ENSG00000221650"	"MI0006404"	"MI0006404"	"hsa-mir-1267"	"13"
"MIR1268A"	100302233	"ENSG00000221641"	"MI0006405"	"MI0006405"	"hsa-mir-1268a"	"15"
"CCDC40"	55036	"ENSG00000141519"	"MI0016748"	"MI0016748"	"hsa-mir-1268b"	"17"
"MIR1268B"	100616121	"ENSG00000265561"	"MI0016748"	"MI0016748"	"hsa-mir-1268b"	"17"
""	NA	"ENSG00000287383"	"MI0006406"	"MI0006406"	"hsa-mir-1269a"	"4"
"MIR1269A"	100302177	"ENSG00000221563"	"MI0006406"	"MI0006406"	"hsa-mir-1269a"	"4"
"ARHGAP44"	9912	"ENSG00000006740"	"MI0016888"	"MI0016888"	"hsa-mir-1269b"	"17"
"MIR1269B"	100616494	"ENSG00000265503"	"MI0016888"	"MI0016888"	"hsa-mir-1269b"	"17"
""	NA	"ENSG00000258399"	"MI0000472"	"MI0000472"	"hsa-mir-127"	"14"
"RTL1"	388015	"ENSG00000254656"	"MI0000472"	"MI0000472"	"hsa-mir-127"	"14"
"MIR127"	406914	"ENSG00000207608"	"MI0000472"	"MI0000472"	"hsa-mir-127"	"14"
"ZNF826P"	NA	"ENSG00000231205"	"MI0006407"	"MI0006407"	"hsa-mir-1270"	"19"
"MIR1270"	100302179	"ENSG00000238517"	"MI0006407"	"MI0006407"	"hsa-mir-1270"	"19"
"ARL10"	285598	"ENSG00000175414"	"MI0003814"	"MI0003814"	"hsa-mir-1271"	"5"
"MIR1271"	100302203	"ENSG00000221464"	"MI0003814"	"MI0003814"	"hsa-mir-1271"	"5"
"RBPMS2"	348093	"ENSG00000166831"	"MI0006408"	"MI0006408"	"hsa-mir-1272"	"15"
"MIR1272"	100302184	"ENSG00000221033"	"MI0006408"	"MI0006408"	"hsa-mir-1272"	"15"
"TIAM2"	26230	"ENSG00000146426"	"MI0014171"	"MI0014171"	"hsa-mir-1273c"	"6"
"MIR1273C"	100422821	"ENSG00000264814"	"MI0014171"	"MI0014171"	"hsa-mir-1273c"	"6"
"PRKCB"	5579	"ENSG00000166501"	"MI0025512"	"MI0025512"	"hsa-mir-1273h"	"16"
"MIR1273H"	102466247	"ENSG00000274466"	"MI0025512"	"MI0025512"	"hsa-mir-1273h"	"16"
"MIR1275"	100302123	"ENSG00000221697"	"MI0006415"	"MI0006415"	"hsa-mir-1275"	"6"
"KLHL25"	64410	"ENSG00000183655"	"MI0006416"	"MI0006416"	"hsa-mir-1276"	"15"
"MIR1276"	100302121	"ENSG00000221634"	"MI0006416"	"MI0006416"	"hsa-mir-1276"	"15"
"WDR44"	54521	"ENSG00000131725"	"MI0006419"	"MI0006419"	"hsa-mir-1277"	"X"
"MIR1277"	100302214	"ENSG00000221463"	"MI0006419"	"MI0006419"	"hsa-mir-1277"	"X"
"CDC73"	79577	"ENSG00000134371"	"MI0006425"	"MI0006425"	"hsa-mir-1278"	"1"
"MIR1278"	100302163	"ENSG00000221680"	"MI0006425"	"MI0006425"	"hsa-mir-1278"	"1"
"CPSF6"	11052	"ENSG00000111605"	"MI0006426"	"MI0006426"	"hsa-mir-1279"	"12"
"MIR1279"	100302182	"ENSG00000283476"	"MI0006426"	"MI0006426"	"hsa-mir-1279"	"12"
"MIR1281"	100302237	"ENSG00000284015"	"MI0006428"	"MI0006428"	"hsa-mir-1281"	"22"
"R3HDM1"	23518	"ENSG00000048991"	"MI0000447"	"MI0000447"	"hsa-mir-128-1"	"2"
"MIR128-1"	406915	"ENSG00000207654"	"MI0000447"	"MI0000447"	"hsa-mir-128-1"	"2"
""	NA	"ENSG00000262560"	"MI0006429"	"MI0006429"	"hsa-mir-1282"	"15"
"SERF2"	10169	"ENSG00000140264"	"MI0006429"	"MI0006429"	"hsa-mir-1282"	"15"
"MIR1282"	100302254	"ENSG00000221792"	"MI0006429"	"MI0006429"	"hsa-mir-1282"	"15"
"ARPP21"	10777	"ENSG00000172995"	"MI0000727"	"MI0000727"	"hsa-mir-128-2"	"3"
"MIR128-2"	406916	"ENSG00000207625"	"MI0000727"	"MI0000727"	"hsa-mir-128-2"	"3"
"MIR1283-1"	100302265	"ENSG00000221421"	"MI0003832"	"MI0003832"	"hsa-mir-1283-1"	"19"
"MIR1283-2"	100302205	"ENSG00000221548"	"MI0006430"	"MI0006430"	"hsa-mir-1283-2"	"19"
"FOXP1"	27086	"ENSG00000114861"	"MI0006431"	"MI0006431"	"hsa-mir-1284"	"3"
""	NA	"ENSG00000285708"	"MI0006431"	"MI0006431"	"hsa-mir-1284"	"3"
"MIR1284"	100302112	"ENSG00000221264"	"MI0006431"	"MI0006431"	"hsa-mir-1284"	"3"
